,id,time,velocity,pile,acceleration,roadsection,distance,remain
25,3,12,20.748820619532975,59.91369119293842,0.7966112801246368,C1,59.91369119293842,90.08630880706158
29,3,13,21.50703616282544,81.42072735576387,0.7582155432924651,C1,81.42072735576387,68.57927264423613
33,3,14,22.289113586867366,103.70984094263125,0.7820774240419262,C1,103.70984094263125,46.290159057368754
38,3,15,23.057483483037117,126.76732442566836,0.7683698961697516,C1,126.76732442566836,23.232675574331637
43,3,16,23.80108201910383,150.5684064447722,0.7435985360667132,B2,0.5684064447721937,99.4315935552278
48,3,17,24.56289722614563,175.13130367091784,0.7618152070417992,B2,25.131303670917845,74.86869632908216
54,3,18,25.285979396725214,200.41728306764304,0.723082170579584,B2,50.41728306764304,49.58271693235696
60,3,19,26.075461983220794,226.49274505086385,0.7894825864955806,B2,76.49274505086385,23.507254949136154
66,3,20,26.835428881911703,253.3281739327755,0.7599668986909087,A3,3.3281739327755133,296.6718260672245
73,3,21,27.56287491120971,280.89104884398523,0.7274460292980081,A3,30.89104884398523,269.10895115601477
80,3,22,28.307985427199075,309.1990342711843,0.7451105159893636,A3,59.1990342711843,240.8009657288157
88,3,23,29.07855172824688,338.27758599943115,0.7705663010478041,A3,88.27758599943115,211.72241400056885
96,3,24,29.847346233451884,368.12493223288305,0.7687945052050047,A3,118.12493223288305,181.87506776711695
104,3,25,30.57953770394079,398.7044699368239,0.7321914704889068,A3,148.7044699368239,151.2955300631761
113,3,26,31.351167697614205,430.0556376344381,0.7716299936734146,A3,180.05563763443809,119.94436236556191
123,3,27,32.13728479391538,462.1929224283534,0.7861170963011723,A3,212.19292242835343,87.80707757164657
133,3,28,32.87318380265139,495.0661062310048,0.7358990087360127,A3,245.06610623100482,54.933893768995176
143,3,29,33.31145127746463,528.3775575084694,0.43826747481323736,A3,278.3775575084694,21.62244249153059
153,3,30,33.30773601328209,561.6852935217515,-0.0037152641825386468,B4,11.685293521751532,88.31470647824847
164,3,31,33.27876472969726,594.9640582514488,-0.028971283584830587,B4,44.96405825144882,55.03594174855118
174,3,32,33.2730425247103,628.2371007761591,-0.005722204986959412,B4,78.23710077615908,21.76289922384092
185,3,33,33.27138913373649,661.5084899098955,-0.0016533909738072339,C5,11.508489909895502,138.4915100901045
197,3,34,33.3087366338186,694.8172265437141,0.03734750008210597,C5,44.81722654371413,105.18277345628587
209,3,35,33.31661756928265,728.1338441129967,0.00788093546405122,C5,78.13384411299671,71.86615588700329
222,3,36,33.31664103602245,761.4504851490192,2.3466739804689496e-05,C5,111.45048514901919,38.54951485098081
235,3,37,33.25307923629135,794.7035643853105,-0.06356179973110443,C5,144.70356438531053,5.2964356146894715
22,4,11,19.585886,0.0,0.0,C1,0.0,150.0
26,4,12,20.364736333299486,20.364736333299483,0.7788503332994878,C1,20.364736333299483,129.63526366670052
